Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R43,86.6k,R_0603_1608Metric,134.25,-116.65,-90.0,top
R44,47,R_0603_1608Metric,138.5,-113.749992,0.0,top
R45,47,R_0603_1608Metric,138.681851,-120.626004,0.0,top
R46,300,R_0603_1608Metric,151.0,-59.65,90.0,bottom
R47,1k,R_0603_1608Metric,143.25,-109.174992,-90.0,top
R48,1k,R_0603_1608Metric,143.210812,-116.187264,-90.0,top
R49,470,R_0603_1608Metric,141.75,-113.749992,180.0,top
R5,5.1k,R_0603_1608Metric,159.75,-81.575,90.0,top
R50,470,R_0603_1608Metric,141.774391,-120.629219,180.0,top
R51,3.3,R_2512_6332Metric,129.0,-121.25,180.0,bottom
R52,300,R_0603_1608Metric,152.75,-59.6125,90.0,bottom
R53,30.1k,R_0603_1608Metric,134.25,-112.724992,-90.0,top
R54,30.1k,R_0603_1608Metric,133.65,-119.9,-90.0,top
R55,300,R_0603_1608Metric,154.5,-59.65,90.0,bottom
R56,1k,R_0603_1608Metric,152.25,-67.25,90.0,bottom
R6,42.2k,R_0603_1608Metric,153.177682,-107.029785,270.0,bottom
R7,10k,R_0603_1608Metric,144.9,-108.25,90.0,bottom
R8,165k,R_0603_1608Metric,153.177682,-110.279785,270.0,bottom
R9,680,R_0603_1608Metric,148.087,-110.25,90.0,bottom
SW1,SW_SPDT,SW_SPDT_PCM12,166.495,-95.75,90.0,top
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,127.28876,-82.37244,-90.0,top
U1,TVS0500DRV,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,160.3875,-91.25,0.0,bottom
U10,UCS3205,VQFN19_3.0x3.0mm_2EP,139.875,-103.074992,90.0,top
U11,UCS3205,VQFN19_3.0x3.0mm_2EP,139.8,-110.249992,90.0,top
U12,UCS3205,VQFN19_3.0x3.0mm_2EP,139.809447,-117.211568,90.0,top
U2,AP63203WU,TSOT-23-6,152.0,-93.8875,90.0,bottom
U3,STM32H753VITx,LQFP-100_14x14mm_P0.5mm,147.0,-70.0,0.0,top
U4,BMP390L,XDCR_BMP390L,153.0,-83.5125,-90.0,top
U5,BMI088,VQFN16_4.5x3.0mm,139.423659,-83.313322,0.0,top
U6,H3LIS331DLTR,QFN300X300X100-16N,147.5,-84.0,180.0,top
U7,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,145.25,-76.0,180.0,bottom
U8,DRV8871DDA,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,156.626049,-117.771187,180.0,bottom
U9,UCS3205,VQFN19_3.0x3.0mm_2EP,139.875,-96.049992,90.0,top
Y1,C13740,OSC-SMD_4P-L3.2-W2.5-BL,136.125,-69.4,90.0,top
